ilce;mahalle;nufus
Gaziosmanpaşa;Barbaros Hayrettin Paşa Mahallesi;47627
Esenyurt;Battalgazi Mahallesi;17924
Sultanbeyli;Battalgazi Mahallesi;39618
Esenyurt;Esenkent Mahallesi;9482
Maltepe;Esenkent Mahallesi;18361
Ümraniye;Esenkent Mahallesi;21343
Esenyurt;Gökevler Mahallesi;16483
Esenyurt;Güzelyurt Mahallesi;17554
Esenyurt;İncirtepe Mahallesi;27941
Esenyurt;Koza Mahallesi;9295
Esenyurt;Mehterçeşme Mahallesi;37378
Esenyurt;Necip Fazıl Kısakürek Mahallesi;20160
Esenyurt;Orhan Gazi Mahallesi;17665
Esenyurt;Osmangazi Mahallesi;30900
Sancaktepe;Osmangazi Mahallesi;52856
Esenyurt;Pınar Mahallesi;42595
Sarıyer;Pınar Mahallesi;10874
Esenyurt;Piri Reis Mahallesi;16469
Esenyurt;Saadetdere Mahallesi;24174
Esenyurt;Şehitler Mahallesi;16977
Esenyurt;Selahaddin Eyyubi Mahallesi;29913
Esenyurt;Süleymaniye Mahallesi;34601
Fatih;Süleymaniye Mahallesi;640
Esenyurt;Sultaniye Mahallesi;22249
Esenyurt;Talatpaşa Mahallesi;28619
Kâğıthane;Talatpaşa Mahallesi;32931
Esenyurt;Turgut Özal Mahallesi;27220
Esenyurt;Üçevler Mahallesi;27280
Esenyurt;Yenikent Mahallesi;23293
Eyüpsultan;Ağaçlı Mahallesi;731
Eyüpsultan;Akpınar Mahallesi;1094
Sancaktepe;Akpınar Mahallesi;24636
Eyüpsultan;Akşemsettin Mahallesi;38332
Fatih;Akşemsettin Mahallesi;18608
Sultanbeyli;Akşemsettin Mahallesi;13886
Eyüpsultan;Alibeyköy Mahallesi;13392
Eyüpsultan;Çiftalan Mahallesi;187
Eyüpsultan;Çırçır Mahallesi;37557
Eyüpsultan;Defterdar Mahallesi;4461
Eyüpsultan;Düğmeciler Mahallesi;17564
Eyüpsultan;Emniyettepe Mahallesi;10637
Eyüpsultan;Esentepe Mahallesi;22014
Kartal;Esentepe Mahallesi;30751
Şişli;Esentepe Mahallesi;7174
Sultangazi;Esentepe Mahallesi;63070
Eyüpsultan;Göktürk Merkez Mahallesi;39235
Eyüpsultan;Güzeltepe Mahallesi;33653
Üsküdar;Güzeltepe Mahallesi;13309
Eyüpsultan;Işıklar Mahallesi;549
Eyüpsultan;Karadolap Mahallesi;31804
Eyüpsultan;Mithatpaşa Mahallesi;8909
Eyüpsultan;Nişancı Mahallesi;15119
Eyüpsultan;Odayeri Mahallesi;229
Eyüpsultan;Pirinççi Mahallesi;3409
Eyüpsultan;Rami Cuma Mahallesi;14715
Eyüpsultan;Rami Yeni Mahallesi;14824
Eyüpsultan;Sakarya Mahallesi;10770
Eyüpsultan;Silahtarağa Mahallesi;10158
Eyüpsultan;Topçular Mahallesi;5142
Eyüpsultan;Yeşilpınar Mahallesi;38486
Fatih;Aksaray Mahallesi;8089
Fatih;Alemdar Mahallesi;283
Fatih;Ali Kuşçu Mahallesi;9492
Fatih;Atikali Mahallesi;13152
Fatih;Ayvansaray Mahallesi;15200
Fatih;Balabanağa Mahallesi;208
Fatih;Balat Mahallesi;10996
Fatih;Beyazıt Mahallesi;48
Fatih;Binbirdirek Mahallesi;1312
Fatih;Cankurtaran Mahallesi;1052
Fatih;Cerrahpaşa Mahallesi;7490
Fatih;Cibali Mahallesi;6979
Fatih;Demirtaş Mahallesi;268
Fatih;Derviş Ali Mahallesi;16725
Fatih;Emin Sinan Mahallesi;846
Fatih;Hacı Kadın Mahallesi;223
Fatih;Haseki Sultan Mahallesi;8692
Fatih;Hobyar Mahallesi;89
Fatih;Hoca Gıyasettin Mahallesi;468
Fatih;Hocapaşa Mahallesi;287
Fatih;İskenderpaşa Mahallesi;11316
Fatih;Kalenderhane Mahallesi;2143
Fatih;Karagümrük Mahallesi;10253
Fatih;Katip Kasım Mahallesi;1275
Fatih;Koca Mustafapaşa Mahallesi;18471
Fatih;Küçük Ayasofya Mahallesi;1510
Fatih;Mercan Mahallesi;100
Fatih;Mesihpaşa Mahallesi;110
Fatih;Mevlanakapı Mahallesi;17590
Fatih;Mimar Hayrettin Mahallesi;482
Fatih;Mimar Kemalettin Mahallesi;243
Fatih;Molla Fenari Mahallesi;86
Fatih;Molla Gürani Mahallesi;11611
Fatih;Molla Hüsrev Mahallesi;937
Fatih;Muhsine Hatun Mahallesi;1319
Fatih;Nişanca Mahallesi;4056
Fatih;Rüstempaşa Mahallesi;23
Fatih;Saraç İshak Mahallesi;827
Fatih;Şehremini Mahallesi;19499
Fatih;Şehsuvar Bey Mahallesi;1750
Fatih;Seyyid Ömer Mahallesi;23649
Fatih;Silivrikapı Mahallesi;14926
Fatih;Sultan Ahmet Mahallesi;470
Fatih;Sümbül Efendi Mahallesi;15337
Fatih;Sururi Mahallesi;40
Fatih;Taya Hatun Mahallesi;85
Fatih;Topkapı Mahallesi;10288
Fatih;Yavuz Sinan Mahallesi;251
Fatih;Yavuz Sultan Selim Mahallesi;15913
Fatih;Yedikule Mahallesi;15417
Fatih;Zeyrek Mahallesi;12465
Gaziosmanpaşa;Bağlarbaşı Mahallesi;28425
Maltepe;Bağlarbaşı Mahallesi;41242
Gaziosmanpaşa;Karadeniz Mahallesi;71175
Gaziosmanpaşa;Karayolları Mahallesi;38738
Gaziosmanpaşa;Karlıtepe Mahallesi;19021
Gaziosmanpaşa;Pazariçi Mahallesi;11550
Gaziosmanpaşa;Sarıgöl Mahallesi;24933
Gaziosmanpaşa;Şemsipaşa Mahallesi;24656
